queries,strategy,iter,tree time,update time,additional time,query execution,results separation,total time,checksum
10,additional,3,4.4022333333333334e-05,8.384333333333334e-06,6.654033333333333e-05,0.26173833333333335,0.028882066666666664,0.290731,947948205202
10,eager,3,0.00014876533333333332,0.00010177633333333334,0.0,0.2609053333333333,0.035776333333333334,0.29683,1003981000000
10,lazy,3,0.00014763366666666666,0.00010185499999999999,0.0,0.30244133333333334,0.03593406666666666,0.33852299999999996,1003981000000
100,additional,3,0.0005208596666666667,6.720066666666666e-05,0.00033614633333333327,0.42048033333333334,0.22734433333333337,0.6486816666666667,6750225429608
100,eager,3,0.0010467466666666666,0.0005722496666666667,0.0,0.41709033333333334,0.3487453333333333,0.7668826666666666,10511807400000
100,lazy,3,0.0009631686666666667,0.0004849466666666667,0.0,0.42689,0.3535486666666667,0.7814016666666667,10511807400000
1000,additional,3,0.0037912199999999997,0.000422939,0.0010908306666666666,0.4368513333333333,2.0486866666666668,2.49042,56502132330648
1000,eager,3,0.00362439,0.0016823066666666667,0.0,0.42659733333333333,3.5057166666666664,3.9359400000000004,101480442200000
1000,lazy,3,0.00494403,0.0019481266666666666,0.0,0.426903,3.40137,3.8332133333333336,101480442200000
10000,additional,3,0.031246466666666663,0.0034160266666666667,0.006880033333333334,0.429182,22.27973333333333,22.74706666666667,686630753056274
10000,eager,3,0.017452866666666667,0.00728922,0.0,0.426719,34.58723333333334,35.0314,1003567502000000
10000,lazy,3,0.027805800000000002,0.009961216666666666,0.0,0.4279726666666667,33.972966666666665,34.428733333333334,1003567502000000
100000,additional,3,0.14048433333333332,0.015142499999999998,0.048116099999999995,0.4268506666666667,252.979,253.5946666666667,8120780539202836
100000,eager,3,0.19536033333333333,0.08077136666666666,0.0,0.42586999999999997,346.47566666666665,347.0963333333334,10019515191800000
100000,lazy,3,0.17928966666666665,0.06302200000000001,0.0,0.42539499999999997,338.09133333333335,338.69599999999997,10019515191800000
