queries,strategy,iter,tree time,update time,additional time,query execution,results separation,total time,checksum
100000,lazy,0,0.135672,0.0475816,0,0.427148,343.096,343.659,2245920508200000
100000,lazy,1,0.138995,0.0494001,0,0.429058,342.554,343.122,2245920508200000
100000,lazy,2,0.138465,0.0492674,0,0.427288,342.491,343.056,2245920508200000
100000,lazy,3,0.14135,0.0501762,0,0.427766,342.473,343.042,2245920508200000
100000,lazy,4,0.142024,0.0505509,0,0.426806,342.751,343.32,2245920508200000
100000,eager,0,0.155516,0.0667906,0,0.427581,340.547,341.13,2245920508200000
100000,eager,1,0.15457,0.0663494,0,0.428147,340.738,341.321,2245920508200000
100000,eager,2,0.156525,0.0671934,0,0.453683,340.881,341.492,2245920508200000
100000,eager,3,0.154503,0.0663227,0,0.427963,340.356,340.939,2245920508200000
100000,eager,4,0.156062,0.0671957,0,0.427247,341.101,341.685,2245920508200000
100000,additional,0,0.111417,0.0109976,0.0404252,0.427808,175.257,175.836,1120636934319846
100000,additional,1,0.111032,0.0109924,0.0403018,0.428824,175.625,176.206,1120636934319846
100000,additional,2,0.109242,0.0108385,0.0407577,0.429854,175.658,176.238,1120636934319846
100000,additional,3,0.109266,0.0108395,0.0407397,0.428903,174.784,175.363,1120636934319846
100000,additional,4,0.074577,0.00736719,0.0404331,0.428104,175.326,175.869,1120636934319846
